Policy_ID,User_ID,Created_At,Effective_Date,Canceled_Date,Renewal_Date,Annual_Premium,Tier,Base_Deductible,State,Personal_Property_Limit,Personal_Liability_Limit,Type
LP85859850,LU19216516,2022-03-01,2022-03-15,2022-04-22,2023-02-28,318,5,1000,WA,"30,000","200,000",car
LP44224575,LU35714365,2022-01-04,2022-01-11,,2023-01-04,209,,500,IA,"40,000","1,500,000",home
LP55938749,LU19949870,2022-11-06,2022-11-17,,2023-11-05,71,,500,KS,"10,000","100,000",car
LP40390796,LU97726269,2023-03-26,2023-04-10,2023-05-20,2024-03-26,254,,250,MI,"20,000","200,000",car
LP22035615,LU38288218,2022-09-16,2022-09-24,2022-11-03,2023-09-15,278,1,1000,SD,"40,000","1,500,000",home
LP11900562,LU05236545,2023-12-31,2024-01-07,2024-01-24,2024-12-31,356,2,250,SD,"30,000","250,000",renters
LP90737488,LU37707433,2023-08-09,2023-08-24,2023-12-08,2024-08-09,172,5,1000,OH,"40,000","100,000",pet
LP64855114,LU70983651,2023-09-09,2023-09-13,,2024-09-09,73,3,500,SD,"40,000","100,000",car
LP49125446,LU70799206,2023-10-28,2023-11-07,,2024-10-28,292,3,500,OH,"20,000","250,000",car
LP60236909,LU88532081,2023-11-12,2023-11-12,2024-07-28,2024-11-12,302,,250,IA,"40,000","100,000",renters
LP42389085,LU69068521,2024-07-17,2024-07-21,,2025-07-17,76,,250,OR,"40,000","500,000",renters
LP28145491,LU02782305,2023-04-16,2023-04-25,,2024-04-16,162,3,500,SD,"40,000","500,000",home
LP99189140,LU75887905,2024-12-24,2025-01-08,2025-12-16,2025-12-24,68,2,1000,NH,"30,000","200,000",renters
LP06802741,LU65872855,2023-09-27,2023-10-02,2024-03-28,2024-09-27,321,5,500,AR,"20,000","200,000",home
LP25666728,LU60450237,2022-04-28,2022-04-29,2023-01-25,2023-04-27,131,2,250,ME,"10,000","500,000",home
LP07940709,LU68944805,2024-10-17,2024-10-27,,2025-10-17,268,4,250,NM,"10,000","500,000",home
LP68594743,LU83247161,2022-01-10,2022-01-24,2022-12-09,2023-01-10,205,1,500,MD,"20,000","200,000",home
LP15757430,LU51786458,2024-01-13,2024-01-24,2024-10-05,2025-01-13,203,1,250,GA,"30,000","100,000",renters
LP22199191,LU97170829,2023-05-07,2023-05-21,2023-07-30,2024-05-07,255,1,250,SD,"30,000","250,000",pet
LP99026939,LU40807937,2023-04-01,2023-04-07,2024-01-29,2024-04-01,218,4,500,MI,"30,000","250,000",home
LP48616169,LU28305125,2022-07-02,2022-07-04,2022-09-12,2023-07-01,116,1,500,NC,"30,000","100,000",renters
LP69667665,LU69162459,2022-09-29,2022-10-11,2023-04-17,2023-09-28,195,2,500,UT,"40,000","250,000",renters
LP24212145,LU54631392,2022-10-13,2022-10-21,,2023-10-12,72,3,1000,HI,"10,000","200,000",renters
LP98783640,LU81165927,2024-03-10,2024-03-23,,2025-03-10,340,2,250,SD,"40,000","500,000",pet
LP66756934,LU99967883,2024-05-03,2024-05-10,,2025-05-03,275,3,1000,OH,"10,000","200,000",pet
LP81084118,LU23475043,2023-10-27,2023-11-07,,2024-10-27,317,3,500,IA,"40,000","250,000",home
LP87540886,LU09453918,2022-10-17,2022-10-18,2023-04-24,2023-10-16,279,2,250,ND,"30,000","100,000",home
LP29785906,LU74363708,2022-03-16,2022-03-22,,2023-03-15,126,5,250,SC,"40,000","200,000",renters
LP77690959,LU25080716,2022-02-11,2022-02-17,,2023-02-11,212,5,250,AK,"20,000","200,000",renters
LP14254984,LU94785196,2022-09-09,2022-09-13,,2023-09-08,255,5,250,NY,"10,000","100,000",pet
LP80810088,LU38118751,2022-07-07,2022-07-16,,2023-07-06,209,5,250,IA,"20,000","1,500,000",car
LP34026044,LU47275004,2022-08-15,2022-08-16,,2023-08-14,256,4,500,ME,"10,000","100,000",renters
LP04999842,LU60185261,2024-05-23,2024-05-31,2024-06-20,2025-05-23,288,1,500,AL,"30,000","250,000",car
LP78554757,LU31427901,2023-09-16,2023-09-20,,2024-09-16,231,5,1000,NY,"30,000","500,000",pet
LP23597176,LU28502828,2024-06-12,2024-06-26,2025-01-30,2025-06-12,315,4,1000,MS,"30,000","200,000",renters
LP38739100,LU09959698,2023-09-11,2023-09-18,,2024-09-11,347,3,250,GA,"40,000","100,000",pet
LP52119419,LU26137081,2023-02-27,2023-03-04,,2024-02-26,339,5,250,CA,"40,000","250,000",car
LP36103362,LU64265921,2023-09-20,2023-09-30,2024-04-16,2024-09-20,249,1,500,MT,"10,000","200,000",renters
LP83605284,LU03449239,2024-03-19,2024-03-22,,2025-03-19,150,5,500,SC,"40,000","1,500,000",pet
LP48551915,LU63053263,2023-12-25,2023-12-30,,2024-12-25,295,,250,IL,"40,000","250,000",renters
LP97720199,LU21116897,2022-01-20,2022-01-30,2023-01-05,2023-01-20,342,2,500,NH,"20,000","250,000",home
LP47619181,LU02676022,2022-03-06,2022-03-08,2023-03-03,2023-03-05,315,5,1000,MI,"40,000","100,000",renters
LP26753832,LU51393461,2024-09-19,2024-09-24,2025-05-07,2025-09-19,303,4,1000,MI,"30,000","1,500,000",car
LP18431293,LU78018782,2022-04-22,2022-05-04,,2023-04-21,355,1,500,IA,"10,000","500,000",pet
LP76751595,LU18916671,2023-07-09,2023-07-18,,2024-07-09,67,4,250,FL,"20,000","100,000",home
LP03151671,LU11835507,2023-10-19,2023-10-28,2024-05-30,2024-10-19,199,3,1000,OH,"30,000","1,500,000",home
LP30812197,LU68013168,2023-08-17,2023-08-17,2024-01-30,2024-08-17,132,2,250,RI,"40,000","250,000",home
LP99181267,LU90614772,2024-11-04,2024-11-06,2025-02-08,2025-11-04,88,4,500,MA,"20,000","500,000",pet
LP94270691,LU17645706,2024-12-21,2024-12-25,,2025-12-21,251,5,500,IA,"30,000","1,500,000",pet
LP03127974,LU24273230,2024-10-05,2024-10-18,2025-08-18,2025-10-05,250,,250,UT,"30,000","200,000",renters
LP54025218,LU64979072,2023-06-22,2023-07-02,2023-12-16,2024-06-22,151,3,250,AK,"10,000","100,000",renters
LP45798464,LU26586880,2024-03-26,2024-04-04,2024-04-04,2025-03-26,257,4,1000,WY,"40,000","250,000",home
LP01566106,LU74227085,2023-01-05,2023-01-12,2023-02-21,2024-01-04,262,3,250,CA,"10,000","200,000",pet
LP57259189,LU15640837,2022-07-12,2022-07-13,,2023-07-11,67,3,500,AR,"40,000","250,000",pet
LP99901446,LU43672999,2022-03-16,2022-03-25,,2023-03-15,322,4,1000,CA,"10,000","100,000",pet
LP67437589,LU40538855,2022-02-12,2022-02-15,2022-05-13,2023-02-12,340,3,1000,WV,"20,000","1,500,000",car
LP90289491,LU94015572,2022-04-15,2022-04-25,2022-08-27,2023-04-14,348,2,250,OK,"10,000","200,000",home
LP42892245,LU09713084,2023-09-17,2023-09-22,2024-05-19,2024-09-17,173,1,1000,KY,"30,000","500,000",renters
LP76506795,LU45064055,2022-10-29,2022-11-12,2023-04-03,2023-10-28,312,2,500,OH,"20,000","1,500,000",pet
LP15035826,LU28840104,2022-10-06,2022-10-10,,2023-10-05,203,4,250,UT,"40,000","250,000",home
LP61745983,LU11228828,2024-04-20,2024-04-29,,2025-04-20,171,4,500,SC,"30,000","1,500,000",home
LP82491442,LU78506628,2024-04-03,2024-04-11,2024-07-26,2025-04-03,143,1,500,AL,"10,000","200,000",car
LP83855083,LU04414649,2022-04-22,2022-05-02,2022-08-10,2023-04-21,100,2,250,AK,"10,000","250,000",pet
LP32483891,LU29915109,2022-04-01,2022-04-09,2022-10-30,2023-03-31,331,3,500,WA,"20,000","100,000",pet
LP53770386,LU08153487,2023-06-20,2023-06-27,2023-12-10,2024-06-20,355,1,250,ID,"30,000","1,500,000",home
LP12962972,LU28077597,2023-11-30,2023-12-13,2024-02-12,2024-11-30,138,5,1000,AK,"10,000","100,000",renters
LP68457944,LU50053873,2022-12-26,2022-12-27,,2023-12-25,324,1,1000,TN,"30,000","100,000",car
LP44412415,LU92282342,2022-10-22,2022-11-04,2023-07-09,2023-10-21,62,3,250,CO,"20,000","250,000",car
LP59834389,LU66147134,2022-01-13,2022-01-26,,2023-01-13,266,5,1000,AZ,"10,000","1,500,000",home
LP26117249,LU59762379,2024-10-19,2024-10-29,,2025-10-19,146,2,500,GA,"10,000","1,500,000",pet
LP69801278,LU48100631,2022-12-12,2022-12-26,,2023-12-11,98,3,1000,SC,"40,000","200,000",car
LP87596008,LU76290257,2023-10-02,2023-10-11,,2024-10-02,113,,500,VT,"40,000","500,000",home
LP14512278,LU05952072,2024-07-15,2024-07-23,,2025-07-15,177,3,250,OR,"20,000","1,500,000",renters
LP87249700,LU52741364,2023-06-19,2023-06-30,,2024-06-19,290,5,500,ME,"30,000","100,000",pet
LP80364679,LU74198716,2022-07-04,2022-07-16,2022-12-12,2023-07-03,70,2,500,TX,"10,000","250,000",car
LP19411431,LU34312156,2024-12-20,2024-12-29,,2025-12-20,321,,500,NV,"10,000","200,000",car
LP92385865,LU46352082,2024-05-30,2024-06-12,,2025-05-30,277,3,1000,ID,"10,000","1,500,000",renters
LP27872757,LU14365792,2023-03-04,2023-03-11,,2024-03-04,136,3,1000,ID,"10,000","1,500,000",pet
LP91639421,LU52061549,2023-02-23,2023-03-01,2024-02-22,2024-02-22,206,,250,MN,"30,000","1,500,000",home
LP84925216,LU19751845,2022-01-11,2022-01-22,,2023-01-11,123,2,250,GA,"10,000","250,000",pet
LP81231128,LU00590775,2024-01-14,2024-01-25,,2025-01-14,152,3,250,MI,"30,000","500,000",car
LP57042379,LU91188363,2022-09-12,2022-09-23,2022-10-19,2023-09-11,305,5,500,IA,"30,000","100,000",pet
LP26867749,LU16078204,2024-03-30,2024-04-11,2025-01-13,2025-03-30,318,,1000,NM,"30,000","250,000",car
LP23722311,LU65380515,2023-07-15,2023-07-30,2024-05-18,2024-07-15,107,3,500,PA,"20,000","500,000",home
LP51428297,LU11622277,2023-12-10,2023-12-17,2024-03-12,2024-12-10,135,4,1000,CO,"20,000","100,000",home
LP97387430,LU92554362,2023-11-30,2023-12-08,2023-12-30,2024-11-30,240,4,500,OK,"10,000","1,500,000",home
LP67369357,LU57056590,2024-12-17,2024-12-31,2025-10-02,2025-12-17,227,1,1000,IA,"10,000","100,000",pet
LP67786160,LU83813161,2023-12-18,2023-12-31,,2024-12-18,309,1,1000,PA,"20,000","500,000",renters
LP36806968,LU01763598,2023-01-31,2023-02-05,,2024-01-30,141,,1000,AR,"20,000","1,500,000",pet
LP61491629,LU46029556,2022-12-20,2022-12-24,,2023-12-19,101,2,500,CA,"10,000","1,500,000",car
LP15099633,LU27271953,2024-12-04,2024-12-06,2025-11-23,2025-12-04,137,4,250,NE,"30,000","100,000",pet
LP81655257,LU79273141,2022-06-06,2022-06-07,2022-11-12,2023-06-05,343,5,1000,PA,"30,000","200,000",home
LP36301362,LU74644660,2023-06-17,2023-06-17,,2024-06-17,111,3,1000,MS,"10,000","500,000",pet
LP09099416,LU48391912,2024-03-18,2024-03-23,,2025-03-18,183,1,250,MS,"10,000","250,000",renters
LP21248517,LU97239797,2022-05-02,2022-05-10,,2023-05-01,64,1,250,TX,"10,000","1,500,000",pet
LP93885056,LU97733209,2023-01-08,2023-01-13,,2024-01-07,122,5,500,ID,"30,000","250,000",renters
LP87510643,LU08538568,2022-12-14,2022-12-15,2023-01-13,2023-12-13,149,3,250,UT,"10,000","1,500,000",pet
LP92147179,LU61811293,2022-11-10,2022-11-16,,2023-11-09,238,3,1000,NV,"20,000","1,500,000",car
LP33093240,LU69043174,2023-08-17,2023-08-20,,2024-08-17,254,4,250,MO,"10,000","1,500,000",car
LP24331074,LU58035715,2023-07-03,2023-07-12,2024-04-21,2024-07-03,223,2,1000,IA,"30,000","500,000",home
LP68612862,LU30771720,2024-03-01,2024-03-11,,2025-03-01,114,4,250,ID,"10,000","1,500,000",renters
LP82455859,LU35999893,2023-05-31,2023-06-13,,2024-05-31,209,1,1000,WI,"10,000","250,000",pet
LP61928767,LU98381778,2023-07-02,2023-07-07,2024-02-12,2024-07-02,119,,1000,DE,"30,000","200,000",renters
LP42470714,LU03055632,2024-01-04,2024-01-09,2024-10-19,2025-01-04,322,3,250,OR,"40,000","100,000",home
LP32536367,LU40913260,2024-04-13,2024-04-21,2024-12-25,2025-04-13,261,5,1000,SD,"20,000","100,000",renters
LP62714730,LU80777983,2024-10-27,2024-10-29,,2025-10-27,87,4,250,IA,"20,000","200,000",pet
LP78629424,LU64478173,2024-04-19,2024-04-24,2024-07-13,2025-04-19,91,1,250,MA,"30,000","500,000",car
LP51608798,LU07474351,2022-01-20,2022-02-03,,2023-01-20,294,5,250,TX,"20,000","100,000",car
LP57449151,LU56806462,2022-06-15,2022-06-23,,2023-06-14,80,,1000,DE,"20,000","100,000",car
LP27495938,LU20887560,2022-08-18,2022-08-19,,2023-08-17,256,2,1000,VT,"40,000","250,000",pet
LP49854422,LU81458837,2024-02-16,2024-02-26,2024-12-15,2025-02-16,267,5,500,GA,"40,000","200,000",home
LP65268232,LU63767266,2023-11-05,2023-11-08,,2024-11-05,153,5,250,RI,"10,000","200,000",renters
LP89142690,LU15492565,2023-06-22,2023-06-27,2023-12-13,2024-06-22,228,2,1000,FL,"40,000","1,500,000",car
LP86409479,LU62171289,2024-05-09,2024-05-13,,2025-05-09,201,5,500,MS,"10,000","200,000",pet
LP50912225,LU00940255,2023-07-21,2023-07-23,2024-03-24,2024-07-21,60,5,1000,MN,"40,000","200,000",car
LP91664456,LU24226236,2022-08-26,2022-09-05,,2023-08-25,260,4,500,PA,"10,000","250,000",pet
LP71837849,LU26437212,2023-06-11,2023-06-11,2023-06-21,2024-06-11,235,4,250,KY,"30,000","1,500,000",renters
LP80034789,LU70295965,2024-03-06,2024-03-11,,2025-03-06,231,5,250,IN,"10,000","1,500,000",pet
LP99287313,LU04999471,2023-03-24,2023-03-25,2023-08-25,2024-03-24,276,3,250,NC,"30,000","100,000",renters
LP33633060,LU09114323,2023-04-08,2023-04-20,2024-03-01,2024-04-08,74,1,1000,AR,"40,000","200,000",pet
LP90456563,LU56213602,2023-10-25,2023-11-02,,2024-10-25,193,4,500,MI,"20,000","1,500,000",home
LP51477514,LU70989076,2024-03-15,2024-03-25,,2025-03-15,323,5,500,DE,"10,000","1,500,000",home
LP71884716,LU94761747,2022-07-07,2022-07-10,,2023-07-06,221,,250,WY,"30,000","100,000",pet
LP91486015,LU85776746,2024-04-03,2024-04-18,2024-11-20,2025-04-03,220,5,250,NC,"40,000","200,000",home
LP73879842,LU83853999,2022-02-12,2022-02-16,,2023-02-12,283,,1000,PA,"10,000","100,000",home
LP65415257,LU81587036,2023-05-11,2023-05-26,2024-01-04,2024-05-11,330,3,500,IA,"40,000","200,000",pet
LP91120873,LU17202710,2023-06-23,2023-06-29,2023-09-15,2024-06-23,131,,250,NY,"30,000","100,000",renters
LP57587493,LU43022851,2023-08-27,2023-09-07,,2024-08-27,83,3,250,ID,"10,000","500,000",pet
LP25522482,LU16283177,2024-09-08,2024-09-09,,2025-09-08,134,4,500,DE,"30,000","500,000",renters
LP08883931,LU74579217,2022-01-21,2022-02-04,2022-05-23,2023-01-21,360,,500,TN,"20,000","1,500,000",home
LP60095752,LU78463675,2022-11-17,2022-11-30,,2023-11-16,174,2,500,VT,"40,000","500,000",pet
LP92937005,LU68901294,2023-10-31,2023-11-07,,2024-10-31,123,5,1000,NE,"30,000","200,000",pet
LP97233000,LU79761496,2022-09-25,2022-10-08,2023-07-27,2023-09-24,88,3,500,MN,"40,000","100,000",car
LP70072745,LU71381007,2023-01-28,2023-02-11,2023-07-03,2024-01-27,184,1,250,NC,"20,000","200,000",home
LP25451547,LU19772152,2023-07-22,2023-08-01,2024-06-27,2024-07-22,347,4,500,GA,"30,000","100,000",car
LP11936166,LU12069821,2024-12-10,2024-12-13,,2025-12-10,180,4,1000,MD,"20,000","500,000",home
LP57277439,LU30683399,2022-04-05,2022-04-19,2022-08-06,2023-04-04,292,2,250,WY,"20,000","100,000",renters
LP49418641,LU68938660,2023-07-31,2023-08-05,2024-03-19,2024-07-31,66,2,500,NV,"40,000","100,000",pet
LP68676807,LU97022426,2023-12-18,2023-12-26,,2024-12-18,153,2,1000,OR,"30,000","500,000",renters
LP98493743,LU84611506,2024-08-29,2024-08-31,,2025-08-29,265,4,250,NM,"10,000","500,000",pet
LP39567644,LU13603675,2023-05-15,2023-05-16,2023-06-11,2024-05-15,210,1,250,HI,"40,000","500,000",car
LP17989555,LU59293266,2022-10-27,2022-11-07,,2023-10-26,294,1,250,CT,"40,000","200,000",renters
LP25895533,LU99979692,2023-03-28,2023-04-12,,2024-03-28,338,5,500,LA,"20,000","100,000",pet
LP60336403,LU12085044,2022-10-24,2022-10-31,,2023-10-23,67,2,500,NY,"30,000","250,000",home
LP37031567,LU57769559,2022-10-25,2022-10-25,,2023-10-24,296,5,1000,HI,"10,000","250,000",car
LP75078859,LU13739036,2024-09-06,2024-09-16,,2025-09-06,337,2,250,UT,"40,000","1,500,000",pet
LP28316765,LU42499108,2024-07-17,2024-07-30,,2025-07-17,163,1,500,SC,"10,000","200,000",pet
LP66053345,LU87504262,2024-09-18,2024-10-02,2024-11-27,2025-09-18,251,5,1000,WY,"30,000","1,500,000",pet
LP50222193,LU85725282,2023-06-13,2023-06-17,,2024-06-13,187,4,1000,MN,"30,000","1,500,000",renters
LP93952563,LU77577338,2022-02-03,2022-02-07,2022-04-05,2023-02-03,135,2,250,NE,"40,000","250,000",car
LP55222440,LU53869277,2023-10-10,2023-10-11,2024-08-17,2024-10-10,351,2,500,DE,"40,000","200,000",pet
LP15903616,LU80044975,2024-07-17,2024-07-29,2025-06-13,2025-07-17,175,1,1000,MN,"30,000","1,500,000",pet
LP44424525,LU47125717,2023-11-08,2023-11-15,2024-01-04,2024-11-08,164,2,250,WY,"30,000","100,000",renters
LP80754137,LU28687916,2024-07-14,2024-07-14,2025-02-23,2025-07-14,330,2,1000,MT,"20,000","100,000",car
LP53069469,LU76408788,2023-07-08,2023-07-22,2023-10-13,2024-07-08,227,3,1000,TX,"40,000","200,000",renters
LP55083583,LU38696237,2022-03-11,2022-03-11,2022-03-22,2023-03-10,92,4,250,FL,"40,000","100,000",home
LP47989803,LU20538456,2022-06-09,2022-06-23,,2023-06-08,290,1,250,MT,"20,000","1,500,000",renters
LP51831005,LU04498656,2022-05-06,2022-05-20,,2023-05-05,255,3,1000,GA,"10,000","200,000",renters
LP09827795,LU85784547,2024-12-02,2024-12-13,,2025-12-02,257,1,1000,DE,"10,000","250,000",car
LP57796170,LU88849725,2023-11-19,2023-12-04,2024-02-11,2024-11-19,63,5,1000,OH,"40,000","500,000",home
LP04951449,LU08151129,2023-04-30,2023-05-04,2024-02-21,2024-04-30,112,5,1000,WI,"40,000","200,000",pet
LP35926652,LU59648375,2023-07-15,2023-07-23,2024-01-31,2024-07-15,358,4,1000,AK,"10,000","1,500,000",car
LP15898767,LU14306790,2022-02-14,2022-02-23,2022-02-28,2023-02-14,213,2,250,NJ,"30,000","100,000",renters
LP57501735,LU96062463,2024-10-05,2024-10-17,2024-11-23,2025-10-05,120,5,500,FL,"40,000","250,000",home
LP39257678,LU76518327,2022-09-21,2022-09-24,2023-07-01,2023-09-20,350,3,500,ME,"30,000","200,000",car
LP53264104,LU73523177,2022-07-08,2022-07-17,,2023-07-07,302,,1000,NY,"20,000","1,500,000",car
LP82768749,LU54848905,2022-08-01,2022-08-07,2023-01-31,2023-07-31,106,4,250,MD,"20,000","1,500,000",pet
LP72889393,LU24321476,2023-07-26,2023-08-06,2024-05-31,2024-07-26,157,3,1000,MN,"10,000","500,000",renters
LP09656830,LU52756583,2022-07-27,2022-07-28,,2023-07-26,190,5,250,OK,"20,000","250,000",home
LP59763705,LU12411985,2023-05-06,2023-05-17,,2024-05-06,210,1,1000,NV,"10,000","100,000",pet
LP47837827,LU60090953,2024-11-11,2024-11-25,2025-02-25,2025-11-11,129,4,500,KS,"40,000","250,000",renters
LP32170463,LU85475796,2024-12-15,2024-12-18,,2025-12-15,262,3,250,MI,"40,000","250,000",home
LP22352333,LU16255446,2022-05-02,2022-05-16,,2023-05-01,349,1,1000,PA,"10,000","100,000",home
LP31045064,LU92162648,2023-08-22,2023-09-06,,2024-08-22,315,5,250,IN,"20,000","500,000",home
LP51090883,LU51292394,2024-08-14,2024-08-18,,2025-08-14,343,5,500,AK,"30,000","500,000",home
LP97167015,LU63437671,2022-08-19,2022-08-24,2022-12-16,2023-08-18,259,4,500,OH,"30,000","200,000",car
LP07894054,LU96249127,2022-01-11,2022-01-17,2022-12-13,2023-01-11,257,3,500,FL,"20,000","1,500,000",pet
LP21450600,LU05676355,2024-08-19,2024-08-20,,2025-08-19,147,,250,IL,"40,000","200,000",home
LP59387588,LU40638181,2024-11-26,2024-12-10,2025-06-06,2025-11-26,352,4,1000,ID,"30,000","1,500,000",pet
LP55168601,LU23407466,2024-08-12,2024-08-17,,2025-08-12,157,5,1000,ID,"10,000","250,000",pet
LP73566342,LU35278952,2022-12-08,2022-12-19,,2023-12-07,309,,250,NJ,"40,000","200,000",car
LP96152271,LU01467414,2023-10-29,2023-11-02,,2024-10-29,102,,1000,NM,"10,000","250,000",renters
LP27396427,LU74803792,2024-12-07,2024-12-22,,2025-12-07,227,2,1000,MD,"40,000","1,500,000",renters
LP87069336,LU33957349,2022-05-20,2022-06-03,,2023-05-19,146,4,1000,SD,"30,000","1,500,000",renters
LP59540078,LU29805616,2022-10-20,2022-10-31,,2023-10-19,107,1,500,OK,"40,000","500,000",pet
LP68848373,LU94511132,2023-12-04,2023-12-04,2024-08-24,2024-12-04,186,,1000,NY,"40,000","200,000",home
LP68812155,LU46608116,2023-05-26,2023-06-02,2023-11-09,2024-05-26,181,4,500,NM,"30,000","1,500,000",renters
LP01949180,LU89219205,2022-12-27,2023-01-06,,2023-12-26,122,2,500,IA,"20,000","250,000",car
LP92909590,LU35700156,2024-08-02,2024-08-05,,2025-08-02,188,,1000,MT,"20,000","100,000",renters
LP78734213,LU38287516,2024-11-17,2024-11-24,,2025-11-17,346,2,500,KY,"30,000","1,500,000",renters
